"","X","year","family","height","R8","planting","flower","maturity","lodging","yield","protein","oil","size"
"DS11-02123",28861.6363636364,2012.45454545455,2,96.5555555555556,130.4,518.545454545455,699.333333333333,925.8,2.17777777777778,3689.90909090909,34,19.35,17.25
"DS11-02127",28862.6363636364,2012.45454545455,2,88,127.1,518.545454545455,696.833333333333,922.5,1.47777777777778,3824.09090909091,33.775,19.575,14.5
"DS11-02129",28863.6363636364,2012.45454545455,2,106.444444444444,130.8,518.545454545455,703.166666666667,926.2,2.55555555555556,3556.44444444444,34,19.325,14.925
"DS11-02131",28864.6363636364,2012.45454545455,2,102,126.222222222222,518.545454545455,700.833333333333,921.888888888889,2.12222222222222,3569.72727272727,34.2,19.525,14.6
"DS11-02132",28865.6363636364,2012.45454545455,2,95.4444444444444,128.444444444444,518.545454545455,696.166666666667,924.111111111111,1.58888888888889,3494.18181818182,34.525,19.05,13.925
"DS11-02133",28866.6363636364,2012.45454545455,2,101.666666666667,128.333333333333,518.545454545455,701.5,924,2.03333333333333,3870.09090909091,32.625,19.125,14.25
"DS11-02135",28867.6363636364,2012.45454545455,2,108.777777777778,131.666666666667,518.545454545455,702.333333333333,927.333333333333,2.01111111111111,4070.54545454545,34.375,18.4,16.275
"DS11-02136",28868.6363636364,2012.45454545455,2,107.888888888889,132.333333333333,518.545454545455,698.333333333333,928,2.28888888888889,3998,34.425,18.8,15.5
"DS11-02138",28869.6363636364,2012.45454545455,2,108.888888888889,134.5,518.545454545455,698.166666666667,929.9,2.14444444444444,3871.09090909091,34.7,18.675,15.325
"DS11-02140",28870.6363636364,2012.45454545455,2,104.555555555556,129,518.545454545455,699.666666666667,924.666666666667,2.25555555555556,3886.09090909091,34.275,18.95,15.575
"DS11-02141",28871.6363636364,2012.45454545455,2,105.666666666667,130.555555555556,518.545454545455,702.5,926.222222222222,2.2,4043.27272727273,34.125,18.8,15.2
"DS11-02142",28872.6363636364,2012.45454545455,2,91.8888888888889,126.777777777778,518.545454545455,698.833333333333,922.444444444444,1.62222222222222,3571.90909090909,32.975,19.8,16.7
"DS11-02143",28873.6363636364,2012.45454545455,2,102.222222222222,127.5,518.545454545455,699,923.5,1.6375,3825.09090909091,34.025,19.9,16.2
"DS11-02149",28874.6363636364,2012.45454545455,2,96,127.4,518.545454545455,699.166666666667,922.8,2.14444444444444,3938.81818181818,34.35,19.575,15.825
"DS11-02150",28875.6363636364,2012.45454545455,2,113,131.222222222222,518.545454545455,702.666666666667,926.888888888889,2.7,3729.3,33.1,19.0666666666667,14.3
"DS11-02151",28876.6363636364,2012.45454545455,2,101.777777777778,126.222222222222,518.545454545455,701.833333333333,921.888888888889,1.88888888888889,4062.81818181818,32.025,20.225,16.95
"DS11-02152",28877.6363636364,2012.45454545455,2,105,132.6,518.545454545455,698.666666666667,928,2.47777777777778,4086.54545454545,33.95,19.125,14.425
"DS11-02154",28878.6363636364,2012.45454545455,2,98,130.9,518.545454545455,697.5,926.3,2.01111111111111,4038.18181818182,33.825,19.425,17.525
"DS11-02155",28879.6363636364,2012.45454545455,2,102.555555555556,123.555555555556,518.545454545455,699.5,919.222222222222,1.77777777777778,3620.54545454545,34.6,18.925,14.675
"DS11-02156",22434,2012.375,2,94.5714285714286,131.428571428571,519.5,699.6,927.857142857143,2.21428571428571,3837,33.125,20.275,16.5
"DS11-02157",22435,2012.375,2,91.2857142857143,130.833333333333,519.5,700,927.666666666667,1.58571428571429,3601.625,34.1,19.75,16.675
"DS11-02158",22436,2012.375,2,93.2857142857143,130.285714285714,519.5,703,926.714285714286,1.54285714285714,3577.625,34.1,19.55,13.3
"DS11-02159",22437,2012.375,2,120.142857142857,133.5,519.5,701.4,930.333333333333,2.55714285714286,3375.75,33.45,19.5,15.25
"DS11-02161",22438,2012.375,2,109,133.857142857143,519.5,701.2,930.285714285714,2.54285714285714,3597.625,34.175,19.5,16.325
"DS11-02162",22439,2012.375,2,94.8571428571429,133.428571428571,519.5,701.6,929.857142857143,1.61428571428571,3724.75,33.7,19.575,17.825
"DS11-02163",22440,2012.375,2,95.8571428571429,129.333333333333,519.5,701.2,926.166666666667,2.04285714285714,3725.625,34.55,18.275,13.825
"DS11-02164",22441,2012.375,2,105.285714285714,131.571428571429,519.5,700.6,928,1.71428571428571,3883.25,33.25,20.2,17.875
"DS11-02165",22442,2012.375,2,96.5714285714286,132.285714285714,519.5,701,928.714285714286,2.11428571428571,3370.25,34.275,19.9,15.4
"DS11-02166",22443,2012.375,2,94.7142857142857,134.857142857143,519.5,703.4,931.285714285714,2.04285714285714,3852.375,33.925,19.4,15.95
"DS11-02167",22444,2012.375,2,93.8571428571429,129,519.5,700.2,925.428571428571,1.72857142857143,3604.375,34.4,18.875,13.25
"DS11-02168",22445,2012.375,2,97.7142857142857,128.142857142857,519.5,700.6,924.571428571429,2.04285714285714,3879.625,32.45,19.375,14.875
"DS11-02169",22446,2012.375,2,104.428571428571,135,519.5,703,931.428571428571,2.14285714285714,3850.25,32.675,20.025,15.225
"DS11-02171",22447,2012.375,2,123.285714285714,134.166666666667,519.5,704.6,931,2.92857142857143,2811,33.975,19.575,14.925
"DS11-02173",22448,2012.375,2,101.285714285714,129.833333333333,519.5,697.2,926.666666666667,1.78571428571429,4012.125,33.15,19.625,17.275
"DS11-02174",22449,2012.375,2,101.714285714286,131.857142857143,519.5,702,928.285714285714,2.25714285714286,3847.125,34.525,19.575,17.65
"DS11-02176",22450,2012.375,2,108.571428571429,132.142857142857,519.5,701.2,928.571428571429,2.55714285714286,3099.25,33.925,19.7,15.25
"DS11-02177",22451,2012.375,2,103.428571428571,136,519.5,705.2,932.428571428571,2.11428571428571,3671.5,34.1,19.35,16.85
"DS11-02178",22452,2012.375,2,102.857142857143,134.428571428571,519.5,704.2,930.857142857143,1.68571428571429,3828.25,33.625,19.925,19.25
"DS11-02180",22453,2012.375,2,104.571428571429,133.428571428571,519.5,701.8,929.857142857143,2.32857142857143,3312.125,33.95,19.1,15.375
"DS11-02181",22454,2012.375,2,95.1428571428571,135.571428571429,519.5,705,932,2.04285714285714,3799.5,32.15,19.9,14.55
"DS11-02182",22455,2012.375,2,91.2857142857143,134.285714285714,519.5,702.2,930.714285714286,1.61428571428571,3689,34.375,19.125,14.65
"DS11-02183",22456,2012.375,2,106.428571428571,130.833333333333,519.5,701.4,927.666666666667,2.32857142857143,3728.75,33.5,20.075,17.3
"DS11-02186",22457,2012.375,2,98.1428571428571,132.857142857143,519.5,702,929.285714285714,2,3980.5,32.85,20.225,15.35
"DS11-02187",22458,2012.375,2,94.5714285714286,134.714285714286,519.5,701.6,931.142857142857,2.04285714285714,4038.125,33.25,19.5,16.425
"DS11-02188",22459,2012.375,2,92.8571428571429,127.833333333333,519.5,702.6,924.666666666667,1.9,3814.5,32.7,20.1,17.75
"DS11-02190",22460,2012.375,2,100.428571428571,133.5,519.5,703.8,930.333333333333,1.85714285714286,4138.125,32.6,20.1,16.425
"DS11-02191",22461,2012.375,2,94.8571428571429,134,519.5,702.6,930.428571428571,1.78571428571429,4017.5,32.625,19.75,15.15
"DS11-03003",29415.9166666667,2012.25,3,93.8181818181818,127.181818181818,519.75,703,923.818181818182,1.34545454545455,3944.66666666667,34.0166666666667,19.6333333333333,17.2833333333333
"DS11-03004",29416.9166666667,2012.25,3,106.272727272727,131.272727272727,519.75,701.4,927.909090909091,1.6,4037.16666666667,34.7333333333333,19.1166666666667,18.45
"DS11-03005",29417.9166666667,2012.25,3,104.909090909091,131.545454545455,519.75,702.4,928.181818181818,1.89090909090909,4183.83333333333,32.5833333333333,20.5166666666667,19.6833333333333
"DS11-03006",29418.9166666667,2012.25,3,85.0909090909091,126.545454545455,519.75,701.6,923.181818181818,1.39090909090909,3709,34.2,19.7166666666667,16.6833333333333
"DS11-03007",29419.9166666667,2012.25,3,86.9090909090909,128.090909090909,519.75,699.4,924.727272727273,1.23636363636364,4120.66666666667,33.6833333333333,19.3333333333333,16.7
