PC	eigenvalue	proportion of total	cumulative proportion
245	0.76775	0.00179	0.9292
246	0.77806	0.00182	0.93102
247	0.78284	0.00183	0.93285
248	0.78592	0.00184	0.93469
249	0.79501	0.00186	0.93654
250	0.80092	0.00187	0.93841
251	0.80593	0.00188	0.94029
252	1.006	0.00235	0.94264
253	0.99784	0.00233	0.94498
254	0.99302	0.00232	0.94729
255	0.98218	0.00229	0.94959
256	0.98115	0.00229	0.95188
257	0.96968	0.00226	0.95415
258	0.9711	0.00227	0.95641
259	0.96351	0.00225	0.95866
260	0.95189	0.00222	0.96089
261	0.94347	0.0022	0.96309
262	0.93725	0.00219	0.96528
263	0.93193	0.00218	0.96746
264	0.92598	0.00216	0.96962
265	0.91823	0.00214	0.97176
266	0.90625	0.00212	0.97388
267	0.89826	0.0021	0.97598
268	0.89676	0.00209	0.97807
269	0.81999	0.00192	0.97999
270	0.88143	0.00206	0.98205
271	0.8771	0.00205	0.9841
272	0.83121	0.00194	0.98604
273	0.87153	0.00204	0.98807
274	0.86765	0.00203	0.9901
275	0.86139	0.00201	0.99211
276	0.85352	0.00199	0.9941
277	0.83933	0.00196	0.99607
278	0.83676	0.00195	0.99802
279	0.84783	0.00198	1
280	8.5723E-30	2.0022E-32	1
