Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
EarHT	37	7.54054054054054	2358.2700674129997	160.00040611561278	293.32315564697075
EarHT	36	7.75	2360.6080464441634	150.7346138555059	298.5533760990876
EarHT	35	7.9714285714285715	2359.807207397578	159.36199217101193	297.54164375825366
EarHT	34	8.205882352941176	2359.06719856546	165.67925214583454	296.64283092420385
EarHT	33	8.454545454545455	2357.894058829726	175.99843302954298	295.30554400476024
EarHT	32	8.71875	2357.5078723722127	183.16944307755685	294.8659884350982
EarHT	31	9.0	2357.4102226111268	186.58917778742477	295.13405276244936
EarHT	30	9.3	2356.464415681308	197.20968119813318	293.9943324054488
EarHT	29	9.620689655172415	2355.850416806417	207.3432187377401	293.35296944552255
EarHT	28	9.964285714285714	2355.300007342374	214.188875041148	292.95459336974596
EarHT	27	10.333333333333334	2355.0494650635223	221.59702675237625	293.0374456585067
EarHT	26	10.73076923076923	2358.851758578251	193.5545174971046	301.0407501390948
EarHT	25	11.16	2359.0129756663728	195.40028610659238	302.002166141062
EarHT	24	11.625	2360.0401999977516	187.65700565352137	304.76600441317584
EarHT	23	12.130434782608695	2359.1032780987402	201.44118580143612	303.67208553385314
EarHT	22	12.681818181818182	2358.1708550889944	216.00809271818412	302.53131337107334
EarHT	21	13.285714285714286	2357.557619095225	228.91464022064898	302.06943965492684
EarHT	20	13.95	2356.6834890193904	244.87447692493078	301.0834230757602
EarHT	19	14.68421052631579	2357.0015918928534	248.53358220278758	302.4056025683423
EarHT	18	15.5	2359.9213355148822	218.03318357837807	308.7354808539768
EarHT	16	17.4375	2359.804672933604	231.5609628116068	309.88095242056164
EarHT	13	21.46153846153846	2359.664021688755	256.1236264067496	312.54124600137584
EarHT	9	31.0	2359.181973034054	339.8909064082926	315.65848595094985
EarHT	5	55.8	2374.0910134565834	52.32378301173361	346.50706300031663
dpoll	276	1.0	1516.3777952916237	9.987144118333907	3.225557963099336
dpoll	265	1.0415094339622641	1515.3029565208967	9.822612300401326	3.5815614657643136
dpoll	259	1.0656370656370657	1515.010111087416	9.703178582888729	3.8198636140543507
dpoll	254	1.0866141732283465	1513.6751481453111	9.728483868311935	3.877932928011827
dpoll	249	1.108433734939759	1517.790799973144	9.148482880960715	4.746498521473218
dpoll	244	1.1311475409836065	1522.7411980502889	8.718779292230922	5.541012413892021
dpoll	239	1.1548117154811715	1522.6163395017757	8.514971604481795	5.863916863401592
dpoll	234	1.1794871794871795	1525.1554801820637	8.065794679455712	6.5835720969622775
dpoll	230	1.2	1526.0550345287766	7.993857158737181	6.8276829283266816
dpoll	225	1.2266666666666666	1527.6554368536601	7.641180682618465	7.422775018827992
dpoll	221	1.248868778280543	1530.5620934263286	7.405324763025981	7.9443017108845035
dpoll	216	1.2777777777777777	1529.4811842858583	7.526390795170095	7.9348541153979335
dpoll	212	1.3018867924528301	1536.2927830232538	6.83257333666518	9.109330735084933
dpoll	208	1.3269230769230769	1534.8228025994492	6.926984854009098	9.067504892417583
dpoll	203	1.3596059113300492	1531.638885418135	7.173130134790676	8.852745471193222
dpoll	199	1.3869346733668342	1529.7012627023153	7.371826000526174	8.687045777607173
dpoll	195	1.4153846153846155	1528.5542061574515	7.52087777693065	8.642954061057443
dpoll	191	1.4450261780104712	1525.8588202258732	7.819526057121572	8.420248687671757
dpoll	188	1.4680851063829787	1524.301688396888	7.979824249053918	8.335658958843036
dpoll	184	1.5	1523.5343939400182	8.009532391768763	8.426962378710016
dpoll	180	1.5333333333333334	1527.3009082749227	7.871288328417465	8.889362632507137
dpoll	176	1.5681818181818181	1525.1219199349248	8.16356586878238	8.728110937985827
dpoll	173	1.5953757225433527	1529.7517686087645	7.765699711422748	9.367039052728947
dpoll	169	1.6331360946745561	1525.6414800884522	8.043250886635471	9.139334897234562
dpoll	166	1.6626506024096386	1525.64898437032	8.139157173319338	9.20279202243645
dpoll	163	1.6932515337423313	1529.3277363213292	7.89732919225054	9.675913595630638
dpoll	159	1.7358490566037736	1528.089859111023	8.048772798547256	9.672893914460193
dpoll	156	1.7692307692307692	1531.062357782467	7.762012735595307	10.146015957353102
dpoll	153	1.803921568627451	1529.8008849444673	7.814292239668304	10.155925717389465
dpoll	150	1.84	1530.853997327103	7.683080058356774	10.411426139927654
dpoll	147	1.8775510204081634	1529.7299583574172	7.893081150659012	10.336099484666105
dpoll	144	1.9166666666666667	1528.32480088293	8.10316491799887	10.263645323906562
dpoll	141	1.9574468085106382	1528.8254208876924	8.110136617173376	10.425138647206426
dpoll	138	2.0	1531.2682262781955	7.772964351882134	10.904730615923441
dpoll	136	2.0294117647058822	1530.8477509870909	7.821446939176997	10.92969245714058
dpoll	133	2.075187969924812	1529.4028313480962	7.944467843844349	10.905991489350159
dpoll	130	2.123076923076923	1529.7487902808	7.949125357997506	11.04553072743606
dpoll	128	2.15625	1529.6476596834564	8.00017637254912	11.100259815780694
dpoll	125	2.208	1530.9759847191071	8.00971576444029	11.30237782144386
dpoll	123	2.2439024390243905	1533.7701368069602	8.137150270358747	11.507256166950382
dpoll	120	2.3	1531.977864688494	8.412356969397305	11.402152316440635
dpoll	118	2.3389830508474576	1535.498362088084	7.772141836935258	11.980830155419053
dpoll	115	2.4	1535.537070893853	7.723663532817609	12.12688932642354
dpoll	113	2.4424778761061945	1536.7880960635403	7.642806192067144	12.321586429111058
dpoll	111	2.4864864864864864	1536.2518067232534	7.683165794377041	12.35104357436833
dpoll	108	2.5555555555555554	1534.4984180423742	7.919085737310735	12.273626054367258
dpoll	106	2.6037735849056602	1534.2466218480317	7.967703926841405	12.3231752397986
dpoll	104	2.6538461538461537	1533.9045907745399	8.061801135099767	12.346411171324792
dpoll	102	2.7058823529411766	1536.7876876482846	7.685513223385048	12.78369468288336
dpoll	100	2.76	1535.0146858460898	7.913753162499385	12.67018482663283
dpoll	98	2.816326530612245	1536.195746074726	7.89790067556527	12.832237010400968
